screen_name,tweets
Nate02575737,1
HbVoeh97,5
Abella129,21
NesuQueen,361
HagiGirmay,1
MHadsi,5
DanielKishoka,1
SamsonT74066411,6
Tigraweyti1234,1
hadushTesfamic1,17
4OFqAIuex9UAixt,18
Nati_GDZ,8
LyouwerkT,6
jeganu2,2
tirhashaile81,17
DesalengTiti,97
CaptinCook9000,5
Bite71Tewele,1
C24exQmoC2ZXOxe,477
barakiAbay,8
MusieHaile2,9
baraki_tsigab,160
Tewodroseifu,1
Yohannes_T_M,11
Arayaede,2
HanaHagos1,2
MekonnenYifter,19
Titi97204288,1
natsnet_haile1,3
yaya00710,7
psCiuoR0rSYDsQq,29
MichaelTsehaye6,7
Nebyat82996126,23
TigrayItalia,11
ZemenfesHailema,7
AdenHailemariam,1
JsjsjsjEhshshs,3
Almaz_AKM,4
Genet_Halish,12
Alem85376476,13
MebrihitGebrez2,2
maikeru_pita,10
Amanuel67064074,4
sami_zeru,4
HaileGebregzia5,3
MessiGebru,1
amit_haile,41
TsgabTsgab1,1
HaHailom,24
geni_habeshawit,179
Victori04768087,77
Zuzi224321582,2
GuushBiniam,3
Abush_,2
rMNHFJAev9Xz4AB,86
Tigray_almaz,95
kidanu_mebrhit,14
QAs77787473,549
Arkebegirmay1,7
MmqA8VSzGbOYLQl,11
Ferewynihayman,4
atakilte_beyene,3
mearmuz,14
G_Hadush11,3
FerwiniB,557
LordHasMercy2,13
Tigray94791660,135
Axumawii,412
MountainsTigray,13
dronebot,39
selamGebru16,20
titi41353316,2
AAsfhaley,1
MahamadMustaf13,1
tirhas_teklay,16
hdegwred,1
Tigrawe20285454,4
GermayAsqual,115
DestaNguse3,8
BrightTigray70,47
davide_tommasin,4
nigistgal,384
MartaTekle1,1
abrahamkibrom2,264
Ermiyas28602770,2
eyorusalemkahsy,1
Danayit_Hayelom,430
AxumawitSamri,166
SaidHussen22,1
UwRtw2R9sKK70c9,24
Roman537786151,126
mehmetemin2112,1
HAbiselom,1
shagiz27,3
tekea_elsa,2
ElsaHagos3,20
LetayLetay1,4
Sara18785983,23
BrktiNgsti,26
kaleHiwet21,41
uWo1NyOZDrxedQt,76
Kalebzion,3
FghyhGghjj,1
TDFWEare1,41
shumuye_yonas,42
fanafana35,6
TigryGenocide,2
RubanaZekarias,9
HaftomMgby,206
damowedi1,11
timo_611,27
MehariTikabo,58
int_rec_day,3
frd_des,22
Vwlh8dCs5FCLYOf,32
Yohanne11416851,321
Nohelema,12
HaiahSagr,269
HumanityTegaru,17
Yosafbeyene,94
moohenur,1
Tigrayking1,26
Simret2022,33
TigrayA91795731,3
AKTAM0,7
RigbeBerhe2,1
Nahusenaye2,1
Awetgerye,6
TekhlayB12,1
FilmonHaile17,1
yonatant53,1
ayzokum,8
natnael12439812,4
kuhilay,1
kafu_ya,15
Weldaytekea2,9
BrhtiB,1
habte_zaid,14
Henok02100741,3
MelaTigrayAdina,3
Maaza63104448,2
ZedZedF1,342
KbromRobel,91
GodspeedTigray,3
nancynn826,73
GfgGfg19094185,6
Amoraw50938228,1
BiniHabeshawi,103
MebrihitTesfay,18
Baharan53850306,1
RahelKidane4,1
Shagos13,1
HfafMeray,101
